Country,Name,Category
United Kingdom,Cyra,Human Resources
United States,Cyrcadia,Healthcare
United Kingdom,Cytora,Insurance
Israel,CytoReason,Healthcare
United States,D,Computer Vision
China,D-Ear,Communication
Canada,D-Wave Systems,Core AI
Israel,D.Day Labs ,Defense/Security
United States,Dabizmo,Core AI
Spain,DAIA Solutions,Data Analytics
Finland,DAIN Studios Oy,Business Intelligence
Canada,Daisy Intelligence Corporation,Software Development
Canada,Damon X Labs,Transportation
United Kingdom,Darktrace,Defense/Security
South Korea,Data & Analytics (DNA),Core AI
United States,Data Genomix,Sales/Marketing
Iceland,Data Plato,Fintech
United States,Data Pop,Business Intelligence
Canada,Datacratic,Text Analytics
United States,DataFox,Data Analytics
China,Dataful,Sales/Marketing
United States,Datagran,Sales/Marketing
United States,datalog.ai,Communication
Russia,Datalogia,Text Analytics
United States,Datalogue,Data Analytics
Israel,dataloop,Computer Vision
Italy,Datalytics,Data Analytics
China,DataMargin,Fintech
United States,Dataminr,Data Analytics
Canada,Dataperformers,Core AI
France,Datapred ,Business Intelligence
South Africa,DataProphet,Text Analytics
United States,DataRobot,Core AI
United States,DataRPM Corporation,Core AI
United States,DataScience.com,Data Analytics
United States,Datatron Technologies Inc,Data Analytics
United States,DataVisor,Defense/Security
Ukraine,Datawiz.io,Sales/Marketing
United States,Datmo,Software Development
United States,Datorama,Sales/Marketing
United States,DatumTron,Core AI
France,Davi,Communication
United States,Day Zero Diagnostics,Healthcare
Israel,DBSH,Automation
France,DC Brain,Automation
China,DdhlChina,Computer Vision
India,Dealizen,Data Analytics
Pakistan,DealSmash,E-Commerce
Japan,Deaps,Travel
Czech Republic,Decisso,Business Intelligence
Germany,Deckard A.I.,Data Analytics
United States,DeckRobot,Computer Vision
United States,Declara,Data Analytics
United States,DecorMatters,Computer Vision
United States,Deep 6 AI,Healthcare
United States,"Deep BI, Inc.",Core AI
United States,Deep Blue Analytics,Data Analytics
Canada,Deep Diagnostics,Healthcare
Canada,Deep Genomics,Healthcare
China,Deep Glint,Automation
Israel,Deep Instinct,Defense/Security
United States,Deep Science AI,Computer Vision
United States,Deep Sentinel,Defense/Security
United States,Deep Vision,Computer Vision
Japan,DeepAnalytics,Core AI
China,DeepBrain,Sales/Marketing
India,DeepBrainzâ€‹ Intelligent Systems,Software Development
China,DeepCare,Healthcare
Israel,deepchat.ai,Communication
China,Deepdraw,Sales/Marketing
China,DeepGlint,Automation
United States,Deepgram,Communication
United States,DeepGreen,Agriculture
China,Deephi,Entertainment
China,Deepinfar,Robotics
Canada,DeepLearni.ng,Core AI
United States,Deeplearning.ai,Education
United Kingdom,DeepMind Technologies,Core AI
France,Deepomatic,Computer Vision
China,Deepoon,Computer Vision
South Korea,DeepQuest,Core AI
Israel,Deepr,Sales/Marketing
United States,DeepRadiology Corp,Healthcare
United States,DeepScale,Computer Vision
United States,deepsense.ai,Sales/Marketing
China,Deepviewtech,Computer Vision
Argentina,DeepVision,Computer Vision
United States,DeepVu,Core AI
United States,DefinedCrowd,Core AI
Turkey,Delphi Sonic,Business Intelligence
Canada,Delve Labs,Business Intelligence
United States,DemandJump,Sales/Marketing
United States,Demisto,Defense/Security
Switzerland,Demiurge Technologies,Core AI
United States,Demografy,Computer Vision
Japan,Dentry,Healthcare
United Kingdom,Deontics,Healthcare
United Arab Emirates,Derq,Transportation
United Kingdom,Desktop Genetics,Core AI
China,DESMS,Computer Vision
United States,Desti,Travel
France,Destygo,Software Development
United States,DeviceBits,Communication
Lithuania,Devs.LT,Human Resources
France,Dexstr ,Healthcare
Denmark,Dezide,Automation
Israel,diagnostics.ai,Healthcare
Israel,Diagsense,Business Intelligence
United States,Dialogflow,Communication
China,DianneiDNA,Healthcare
France,Dictanova ,Communication
United States,"DIDiT, Inc. (DIDiT Labs)",Data Analytics
United Kingdom,DiffBlue,Core AI
United States,Diffbot,Data Analytics
United States,Diggen,Sales/Marketing
United States,Digie,Communication
Turkey,Digiform,Text Analytics
United Kingdom,Digital Bridge,Computer Vision
Germany,Digital Car Institute,Transportation
United Kingdom,Digital Genius,Communication
Israel,Digital Instinct,Text Analytics
United States,Digital Reasoning Systems,Communication
United States,Digital Roots,Text Analytics
Finland,Digital Workforce,Robotics
United Kingdom,DigitalMR,Sales/Marketing
United States,Digitize.AI,Healthcare
Colombia,DILE,Core AI
United States,DimensionalMechanics,Software Development
China,Dingfudata,Fintech
Spain,DISCOPERI,Internet of Things
United States,"Discovery Machine, Inc.",Software Development
United States,Dispatch,Transportation
United States,Disrupt6,Defense/Security
Canada,Disrupted Logic,Entertainment
Israel,distribyte,Business Intelligence
Spain,Dive,Computer Vision
Denmark,Dixa,Communication
China,DJI,Entertainment
Israel,DLR,Robotics
United States,DMscore,Sales/Marketing
Israel,Dmway ,Business Intelligence
Canada,DNNresearch,Computer Vision
China,DNSii,Data Analytics
France,Do You Dream Up ,Communication
China,Dobot,Communication
Nigeria,Dochase Ads,Sales/Marketing
United States,DocSynk,Healthcare
United States,Doctor Hazel,Healthcare
France,Doctrine,Legal
Germany,Dojo Madness,Communication
Israel,Dokka,Text Analytics
China,Dolphin.AI,Energy
United States,Donde,E-Commerce
China,Dong.Me,Communication
China,Doonesoft,Robotics
United States,Dopamine Labs,Software Development
China,Dorabot,Robotics
China,DoReSo,Communication
United States,DotBits,Core AI
United States,Downstream,Sales/Marketing
Zimbabwe,Dr CADx,Healthcare
United Kingdom,Drayson Technologies,Healthcare
South Korea,Dream Youngs,Communication
Israel,DreaMed Diabetes,Healthcare
France,DreamQuark,Data Analytics
France,DreamUp Vision,Healthcare
United States,Dressometry,Entertainment
United States,dristi.ai,Core AI
China,Driva - AI Dash Cam Driving Assistant,Transportation
United States,Drive.ai,Transportation
Israel,Driveway,Transportation
United States,DroneDeploy,Defense/Security
United States,Duo AI,Internet of Things
China,Duyan,Communication
Israel,Dyadic ,Defense/Security
China,Dzrplus,Entertainment
Germany,e-bot7,Communication
China,Eacheart,Business Intelligence
United States,Earley Information Science,Automation
Israel,Earnix,Fintech
France,EasyMile,Transportation
Israel,EasySend,Defense/Security
United States,eBrevia,Text Analytics
Spain,ec2ec,Communication
United Kingdom,Echobox,Data Analytics
China,ECOVACS,Robotics
United States,EdCast,Education
China,Eddatech,Healthcare
India,EdGE Networks Pvt. Ltd.,Human Resources
United States,EdgeWave,Defense/Security
United States,Edgewise Networks,Defense/Security
China,Editorai,Core AI
Japan,EduLab,Education
China,EEGSmart,Healthcare
China,EFFORT,Robotics
Ireland,EFT Energy,Entertainment
China,Efy-tech,Computer Vision
China,Ehang,Automation
Canada,Eigen Innovations,Business Intelligence
United Kingdom,Eigen Technologies,Core AI
United States,Eightydays.me,Travel
China,Einplus,Communication
Ireland,Eiratech Robotics,Automation
China,Eking-tech,Entertainment
United States,Elafris Inc,Communication
Israel,Elasticode,Communication
Sweden,Elastisys,Automation
United States,Electric AI,Communication
Indonesia,Elektronik Virtual Asisten (EVA.id),Text Analytics
Canada,Element AI,Business Intelligence
United States,Element Data,Core AI
United States,Element Inc,Business Intelligence
United States,Elemental Machines,Software Development
United States,Elemental Path,Communication
South Korea,Elgen ,Communication
United States,Elliot,E-Commerce
United States,Eloquent Labs,Communication
United States,ELSA,Education
Japan,Eltes,Defense/Security
India,elth.ai,Healthcare
France,Elum,Automation
United States,Elyse28,Healthcare
Canada,EMAGIN Clean Technologies,Text Analytics
Singapore,Ematic Solutions,Sales/Marketing
United States,Embark,Transportation
United States,"Embodied, Inc.",Healthcare
Israel,Emedgene,Healthcare
South Africa,Emerge Analytics,Business Intelligence
China,EmoKit Tech,Core AI
United Kingdom,Emote Robotics,Robotics
United Kingdom,Emotech,Robotics
China,Emotibot,Communication
United States,emozia,Computer Vision
Japan,Empath,Communication
Israel,Empirical Hire,Human Resources
United Kingdom,Encode,Defense/Security
Russia,ENCOM,Communication
Israel,Endor,Business Intelligence
United States,Energid,Robotics
United States,ENGAGE,Human Resources
United States,EngageClick,Sales/Marketing
India,ENIXTA Innovations Pvt Ltd,Sales/Marketing
China,Enjoyor,Transportation
United States,"Enlitic, Inc.",Core AI
United States,Enlyton,E-Commerce
United States,ensa,Healthcare
United States,Entefy,Communication
United States,Entelo,Human Resources
United Kingdom,Enterprise Bot,Communication
United States,Enterra Solutions,Core AI
United States,Entrigna,Sales/Marketing
India,Entropik Technology,Core AI
United States,Envairo,Energy
United States,Envisagenics,Healthcare
Canada,Envision.ai,Computer Vision
Germany,ENWAY,Robotics
United States,EpiAnalytics,Text Analytics
Spain,Epinium,Sales/Marketing
United States,EquBot,Fintech
Spain,Espafil,Sales/Marketing
Israel,Essence Intelligence,Text Analytics
Turkey,Eteshis,Healthcare
China,Etuav,Computer Vision
United States,Etyon Health,Healthcare
Italy,Eudata,Communication
China,Eutroeye,Computer Vision
Israel,EVALUEX,Business Intelligence
Israel,Evaluex,Defense/Security
United States,Eve Ai,Core AI
United States,Ever AI,Core AI
Israel,EverCompliant,Defense/Security
United States,Evergage,E-Commerce
United States,Everlaw,Legal
United States,Everseen,Business Intelligence
Germany,Evertracker,Business Intelligence
United States,Eviga,
United States,Evisort,Text Analytics
United States,Evolv Technology,Defense/Security
Israel,evolven,Automation
China,Evomotion,Computer Vision
China,Ewatt,Robotics
Japan,EXA AI SmartQA,Communication
United States,Exabeam,Defense/Security
Israel,examPAL,Education
Germany,ExB,Robotics
Israel,Exceed.ai,Sales/Marketing
France,eXenSa ,Text Analytics
United Kingdom,Existor,Software Development
United States,Exnodes Inc.,Computer Vision
China,Exocr,Computer Vision
United States,EXOPM,Automation
United States,Experfy,Business Intelligence
Italy,Expert System,Text Analytics
Germany,Explosion AI,Software Development
Belarus,Exponenta,Text Analytics
Israel,Exposebox,Sales/Marketing
United Kingdom,Exscientia,Core AI
United States,ExtraHop Networks,Internet of Things
China,ExtremeVision,Defense/Security
Germany,EyeEm,Computer Vision
United States,Eyenuk,Healthcare
Germany,EyeQuant,Computer Vision
United States,Eyeris,Core AI
Israel,EyeSafe,Defense/Security
Israel,eyeSight Technologies,Transportation
Switzerland,Eyra,Healthcare
Canada,EZ-Robot Inc.,Robotics
Canada,EZ-Robot Inc.,
United States,Ezoic Inc,Data Analytics
Switzerland,F&P Robotics,Robotics
China,Face++,Communication
China,Faceall,Computer Vision
United States,FaceFirst,Defense/Security
United States,Facepinpoint,Core AI
Israel,Faception,Computer Vision
China,FaceThink,Computer Vision
United Kingdom,Factmata,Text Analytics
China,Falcon,Transportation
United States,Falkonry,Business Intelligence
United States,Famelent,Sales/Marketing
United States,FanAI,Sales/Marketing
China,Fanoi,Computer Vision
China,Fantreal,Computer Vision
United States,Faraday Future,Transportation
Israel,Farm Dog Technologies,Agriculture
Japan,Farmnote Color,Agriculture
United States,FarmShots,Agriculture
United States,Farmwise,Agriculture
United States,FarmX,Agriculture
Switzerland,Fashwell,Computer Vision
Japan,FastAlert,Entertainment
United States,"FaunaFace, Inc.",Software Development
Switzerland,Faveeo,Sales/Marketing
United States,FDNA Inc.,Healthcare
China,FEC,Business Intelligence
Germany,Fedger?,Business Intelligence
Lithuania,Feedpresso,Text Analytics
Israel,Feedvisor,E-Commerce
United States,Feedzai,Defense/Security
Israel,FeezBack,Fintech
India,FeltSo,Text Analytics
United States,Fero Labs,Automation
United States,Fetch Robotics,Robotics
Uganda,Feyti limited,Fintech
China,fftai,Robotics
Finland,Fibo,Core AI
Poland,Fido Intelligence,Core AI
United States,Fido Labs,Text Analytics
United States,fido.ai,Text Analytics
United States,FieldVision Co.,Computer Vision
Israel,Fifth Dimension,Core AI
Turkey,Fikrimuhal Teknoloji,Data Analytics
Australia,Fillr,Automation
Australia,Filtered,Business Intelligence
Finland,Fimmic Oy,Core AI
Australia,Fincast,Fintech
South Africa,FinChatBot,Fintech
Israel,FinCheck,Fintech
United States,Findo,Communication
Israel,findodo,Communication
United Kingdom,FindTheRipple,Sales/Marketing
Canada,Finn.ai,Fintech
United States,FinTech Studios,Fintech
Spain,Fintonic,Fintech
Canada,Fire Out,Internet of Things
China,FireData,Transportation
United Kingdom,Firedrop,Software Development
United States,First,Real Estate
United States,First Analytics,Core AI
United States,firstAI,Core AI
United States,Fishermen Labs,Software Development
United States,Fishtree Inc,Education
China,FitME,Communication
China,Fitme.AI,Communication
United Kingdom,Fitwell,Healthcare
Ukraine,FiveAI,Automation
United States,FixNix Inc.,Software Development
China,Flame Technology,Communication
United States,Flamingo Ventures,Fintech
Germany,Fleetboard Innovation Hub,Internet of Things
Finland,Fleetonomy.ai Oy,Robotics
United Kingdom,Flexciton,Manufacturing
India,Flickbay,Entertainment
United States,Flipora,Sales/Marketing
South Korea,Flitto,Communication
India,Flixstock,Computer Vision
Netherlands,Flow.ai,Communication
Canada,Fluent.ai,Communication
South Korea,Fluently,Communication
Canada,Flybits,Text Analytics
China,Flypro,Entertainment
United States,FLYR,Business Intelligence
United States,Flyreel,Automation
Netherlands,FOBISS,Data Analytics
United States,Focal Systems,Transportation
United States,Foghorn Systems,Internet of Things
Canada,FoodBots,Automation
Denmark,Forecast,Business Intelligence
United Kingdom,ForecastThis,Data Analytics
United States,Forhyre,Business Intelligence
United States,Fortem Technologies,Defense/Security
Israel,Forter,Defense/Security
France,Fortia Financial Solutions,Fintech
United States,Fortscale Security,Defense/Security
United Kingdom,ForwardLane Inc,Fintech
China,Fosafer,Healthcare
South Korea,Fount,Fintech
Japan,Foxsy,Communication
United States,Fract,Data Analytics
United States,Fractal Industries,Software Development
United Kingdom,Fractal Labs,Fintech
United States,Frame Technology,Communication
United Kingdom,Fraud,Defense/Security
Germany,Fraugster,Defense/Security
Germany,fredknows.IT,Communication
China,FreeSense,Computer Vision
Israel,Friend or Fraud,Sales/Marketing
United States,FriendlyData,Business Intelligence
Israel,Fringefy,Computer Vision
Israel,FST Biometrics,Healthcare
Canada,FTSY,Communication
United States,FuildM,Communication
United States,FunnelBeam,Sales/Marketing
Sweden,Furhat,Communication
United States,Fusemachines,Core AI
Israel,Futbol.ai,Entertainment
China,Future Wise,Healthcare
Canada,fuzzy.ai,Communication
United States,Fyusion,Computer Vision
United States,Gainsight,Sales/Marketing
Israel,Gala Pro,Entertainment
United States,Galacticar,Fintech
United States,Galaxy.AI,Fintech
United States,Gallop,Travel
Sweden,Galvangai,Text Analytics
United States,"Gamalon, Inc.",Text Analytics
Switzerland,Gamaya,Automation
Spain,Gamco,Entertainment
Israel,Game & Whales,Sales/Marketing
Israel,Gamoshi,Sales/Marketing
United States,Gauss Surgical,Healthcare
Sweden,Gavagai,Text Analytics
China,Geek+,Manufacturing
China,Geetest,Software Development
China,GeneLife,Healthcare
China,GeneralRobots,Robotics
United States,Genetic Internet â€” A Self-organizing Internet (Machine Genetics),Sales/Marketing
China,Genius Pros,Defense/Security
Israel,Genoox,Healthcare
China,Genowis,Healthcare
South Korea,gentlepie,Communication
Israel,GeoQuant,Fintech
United States,GeoVisual Analytics,Computer Vision
United States,GeoZilla,Geolocation
Germany,German Autolabs,Communication
Germany,German Research Center for Artificial Intelligence,Software Development
Spain,Gestoos,Entertainment
Finland,Get Jenny,Communication
Israel,GetAlert,Healthcare
United States,GetOnDemand,Core AI
India,GetYana,Communication
China,Ggyun,Sales/Marketing
China,Giaitech,Computer Vision
United States,Giant Otter Technologies,Communication
United States,Gidget,Sales/Marketing
United States,gifs.com,Computer Vision
Germany,Gigaaa,Communication
United States,Gigster,Software Development
Finland,GIM-Generic Intelligent Machines,Robotics
Germany,Gini,Text Analytics
Belarus,Gini Machine,Fintech
China,GJS,Robotics
Singapore,Glance Tech,Fintech
United States,Glassbeam,Data Analytics
Israel,Glassbox ,Sales/Marketing
Sweden,Gleechi,Healthcare
Taiwan,GliaCloud,Computer Vision
United States,GlimpzIt,Computer Vision
Japan,Glit,Entertainment
United States,Globavir Biosciences,Healthcare
Finland,Glosg.com Ltd.,Communication
United Kingdom,Gluru,Business Intelligence
China,GM-Robot,Robotics
United States,GMDH Shell,Data Analytics
United States,GNS Healthcare,Healthcare
Germany,goedle.io,Sales/Marketing
United States,Gong.io,Computer Vision
United States,GonnaBe,
Czech Republic,GoodAI,Core AI
United Kingdom,Google Deep Mind,Core AI
United States,Gorilla AI,Entertainment
South Africa,GotBot,Communication
United States,GovBrain,Fintech
China,Gowild,Internet of Things
Japan,Gozal,Human Resources
China,GQRobot,Robotics
United States,Grad Rounds / Grand Rounds,Healthcare
United States,Gradescope,Education
United Kingdom,Grakn,Data Analytics
United States,Gramener,Data Analytics
Canada,Granata Decision Systems,Core AI
Canada,Granify,Sales/Marketing
United Kingdom,Graphcore,Software Development
Spain,Graphext,Text Analytics
United States,Graphiq,Computer Vision
United States,Graphistry,Fintech
United States,"Graphus, Inc.",Defense/Security
United States,GrayMeta,Business Intelligence
Sweden,Greater Than,Fintech
United States,GreatHorn,Defense/Security
United Kingdom,Greedy Intelligence,Education
United States,Grey Jean Technologies,Data Analytics
United Kingdom,Grid Edge,Energy
Israel,Grid4C,Business Intelligence
United States,Gridspace,Communication
United States,GrokStyle,Computer Vision
United States,Growlabs,Sales/Marketing
United Kingdom,Growth Intel,Sales/Marketing
United Kingdom,Growth Intelligence,Business Intelligence
United Kingdom,Grumgo,Travel
Switzerland,Grydl Analytics,Data Analytics
China,GS-ROBOT,Robotics
China,Gtcom,Communication
United Kingdom,GTN,Healthcare
United States,"GTop Group, Inc.",Data Analytics
United States,Guesswork,Sales/Marketing
United States,Guided Systems Technologies,Robotics
United States,GumGum,Computer Vision
United States,GupShup,Communication
United States,Gurucul,Defense/Security
Mexico,Gus Chat,Communication
France,Gwapit,Communication
United Kingdom,Gyana,Sales/Marketing
United States,Gyant,Healthcare
Israel,Gymex,Entertainment
United States,Gyomo,Defense/Security
United States,H2O.ai,Business Intelligence
United States,H2O.ai,Software Development
United Kingdom,Habito,Fintech
United States,"Habla AI, Inc.",Data Analytics
United Kingdom,Hadean,Automation
China,HaiVision,Computer Vision
United States,Hakia,Internet of Things
India,HAL Robotics,Internet of Things
Hungary,HandInScan,Healthcare
United States,Hands Company,Robotics
China,Hanvon,Entertainment
Sweden,Happyr,Human Resources
Netherlands,Harver,Human Resources
United States,Harvest Automation,Robotics
United States,Hayo,Internet of Things
United States,Haystax Technology,Defense/Security
Finland,Headai,Core AI
Japan,Headwaters,Robotics
Singapore,Healint,Healthcare
United States,Health Fidelity,Healthcare
United States,HEALTH[at]SCALE Technologies,Healthcare
Germany,Healthcare X.0,Healthcare
Sweden,HealthiHabits,Healthcare
United States,HealthReveal,Healthcare
United States,HealthRhythms,Core AI
United States,"HealthTechApps, Inc.",Healthcare
United States,HealthTensor,Healthcare
Israel,Healthy Mize,Healthcare
United Kingdom,Healx,Core AI
Israel,HEAT Intelligence,Software Development
Israel,HedgeWiz,Fintech
France,Heek,Communication
Germany,Heili,Software Development
Israel,heili,Business Intelligence
Brazil,Hekima,Core AI
Australia,Heliex,Business Intelligence
United States,"HelloAva, Inc",Healthcare
United States,Helplama,Communication
China,Henghaodata,Software Development
China,Hengtbj,Automation
Finland,Herculex.ai,Legal
Finland,Herman IT,Core AI
Israel,Hermetic,Fintech
United States,Heroic.ly,
Japan,Heroz Japan,Entertainment
United Kingdom,Hertzian,Text Analytics
China,Hesaitech,Automation
France,Heuritech,E-Commerce
Germany,Heuro Labs,Core AI
Germany,Heurolabs,Data Analytics
South Africa,Hey Jude,Communication
Mexico,HeyBOB,Communication
China,Heyha,Computer Vision
United States,HeyMojo,Communication
Brazil,Hi Platform,Sales/Marketing
Taiwan,HIGH5,Communication
United States,HighRadius,Business Intelligence
United States,hiku labs,Computer Vision
United States,Hily,Communication
United States,"Hindsait, Inc.",Healthcare
United States,HintBox.ai,Fintech
Malta,Hippo Data,Text Analytics
United States,HipPocket,Fintech
United States,hiQ Labs,Human Resources
United States,Hiretual,Human Resources
United States,HiringSolved,Human Resources
China,HiScene,Core AI
China,Hisign,Computer Vision
Japan,hitTO,Communication
United States,HiveFire,Communication
Thailand,HiveGround,Robotics
Australia,HIVERY,E-Commerce
China,Hizkon,Entertainment
India,Hocrox,Core AI
Japan,Holoeyes,Healthcare
Italy,Holsys,Text Analytics
United States,Homebot,Real Estate
China,Honganrobots,Entertainment
China,Hongshi-tech,Computer Vision
France,Hoomano,Robotics
China,Hopperclouds,Human Resources
China,Horizon Robotics,Communication
China,Hotdoor,Entertainment
United States,Hover Inc.,Computer Vision
United States,Howdy,Communication
Japan,HowMa,Real Estate
United Kingdom,Hoxton Analytics,Computer Vision
Japan,HRMos,Human Resources
Spain,Hu:toma,Robotics
China,HuaAT,Sales/Marketing
China,Hualaikeji,Computer Vision
China,Huaraytech,Automation
China,Huawei,
China,Hubcloud,Sales/Marketing
France,Hubdata,Business Intelligence
India,Hugefly Technologies,E-Commerce
United States,Hugging Face,Communication
China,Huitingtech,Communication
China,Huiyi Hui Ying,Healthcare
United States,Huma.ai,Communication
United Kingdom,Human,Core AI
United States,Human Condition Safety,Entertainment
China,Humanplus,Computer Vision
United States,Humantelligence,Human Resources
Australia,Hummingbird AI PTY Ltd.,Communication
United States,Humtap,Entertainment
Australia,Hyper Anna,Data Analytics
United States,Hyperfine,Healthcare
United States,HyperScience,Automation
United States,HyperVerge,Computer Vision
France,Hyphen,Communication
Israel,Hyver,Defense/Security
China,Hzstyl,Robotics
Israel,I Know First,Fintech
United States,i.am+,Entertainment
Germany,i2x,Communication
Israel,i4drive,Transportation
United States,IamBot,Communication
United States,IBM Watson,Core AI
China,iCarbonX,Healthcare
United States,Icertis,Business Intelligence
Australia,iCetana,Computer Vision
China,Iclassedu,Education
China,ICloudWave,Software Development
United States,ICM Hub,Communication
China,Ideahos,Entertainment
Canada,Ideal,Communication
United States,Ideal Medical Technologies,Healthcare
China,ideepmind,Robotics
China,Idemac,Automation
United States,Identidata,Computer Vision
China,Iding,Transportation
United Kingdom,idio,Business Intelligence
China,Idiway,Computer Vision
France,IDMOG ,Business Intelligence
Israel,Idomoo,Sales/Marketing
China,idriveplus,Transportation
China,iFLYTEK,Communication
Israel,iguazio,Defense/Security
India,iKen Solutions Pvt. Ltd.,Core AI
France,IKO System,Sales/Marketing
Switzerland,Illuminoo,Data Analytics
United Kingdom,Illumr,Data Analytics
China,ImageQ,Data Analytics
Canada,Imagia,Healthcare
Sweden,Imagimob,Internet of Things
Israel,Imagry,Computer Vision
Israel,Imagu Vision Technologies,Computer Vision
Spain,iMath Research,Data Analytics
Israel,IMBlox,Communication
China,IMG,Computer Vision
China,IMIO,Software Development
United States,Immediate Insight,Data Analytics
United States,Immersive Labs,Software Development
France,Immersive Robotics ,Robotics
United States,Immuta,Defense/Security
United States,Imperative,Human Resources
Israel,imperson,Sales/Marketing
United Kingdom,Import.Io,Business Intelligence
China,IMPOWER,Computer Vision
Singapore,impress.ai,Human Resources
China,Imsight Medical Technology,Healthcare
United States,Imubit,Manufacturing
Israel,Imvision,Defense/Security
France,Inato,Healthcare
United States,Inbenta,E-Commerce
Germany,Inbot,Sales/Marketing
Israel,inboundli,Sales/Marketing
China,Inbs,Fintech
Czech Republic,Incomaker,Sales/Marketing
United States,indeni,Automation
United States,Indico Data Solutions,Core AI
United States,Indigo Agriculture,Agriculture
Spain,Indisys,Business Intelligence
United States,Indix,Sales/Marketing
United States,Infer,Sales/Marketing
Poland,Infermedica,Healthcare
China,Infervision,Healthcare
Israel,InfiniGrow,Sales/Marketing
United States,Infinite Analytics,Communication
Israel,Inflowz,Sales/Marketing
France,Influans,Sales/Marketing
United States,Influential,Sales/Marketing
Brazil,InfoPrice,Business Intelligence
United States,Infrrd,Core AI
United States,ingage.ai,Communication
United States,ingrain.io,Computer Vision
United States,Inkba,
Italy,Innaas,Communication
Italy,INNAAS,Data Analytics
Canada,InnerSpace Technology,Business Intelligence
South Korea,Innoplay Lab,Robotics
China,InnoTree,Fintech
United States,Innotrieve,Human Resources
Singapore,Innovative Binaries,Transportation
Israel,Innoviz Technologies,Automation
United States,Innowatts,Energy
United States,Inovance Financial Technologies,Fintech
China,Insentek,Agriculture
United Kingdom,InsideDNA,Healthcare
United States,InsideSales.com,Sales/Marketing
China,Insightinc,Computer Vision
United States,Insilico Medicine,Healthcare
Russia,Inspector Cloud,Computer Vision
United States,Inspectorio,Manufacturing
Germany,Inspirient,Data Analytics
China,Inspur,Software Development
India,Instahyre,Human Resources
United States,Instalocate,Travel
United States,InstantLocal,Travel
United States,Instreamatic.AI,Sales/Marketing
United States,Insurify,Communication
Canada,Integrate.ai,Sales/Marketing
Poland,Inteliclinic,Healthcare
United States,Inteliwise,Communication
United States,InteliWISE USA,Communication
United States,Intellei,Communication
China,Intellif,Computer Vision
United States,Intelligent Artifacts,Core AI
United States,"Intelligent Flying Machines, Inc.",Core AI
United States,Intelligent Green Products,Entertainment
United States,Intelligent Layer,Core AI
United Kingdom,IntelligentX,Automation
United States,Intelligo,Business Intelligence
United States,IntelliVision,Computer Vision
South Korea,Intelliz,Automation
Canada,Intellogo Inc.,Entertainment
Israel,Intendu,Healthcare
United States,Intensity Analytics Corporation,Defense/Security
United States,Intentiva,Core AI
Israel,Interactbot,Communication
United States,Interactions,Communication
China,Interjoy,Robotics
Canada,Internuncio Technologies Inc.,Software Development
Canada,Interset,Defense/Security
Brazil,Intexfy,Sales/Marketing
China,Intsig,Computer Vision
Israel,Intsights,Defense/Security
United States,Intuition Machine,Core AI
Israel,Intuition Robotics,Robotics
France,Intuitive Robots,Robotics
Israel,Intuview,Text Analytics
Switzerland,Invacio,Fintech
Canada,Invenia,Text Analytics
France,Invenis ,Business Intelligence
India,InvenZone,Data Analytics
Israel,Invertex,Computer Vision
Switzerland,InvestGlass,Fintech
United States,Invincea,Defense/Security
China,Invo,Computer Vision
United States,Invoca,Sales/Marketing
United States,iOnRoad,Transportation
Canada,Iota Security,Defense/Security
United Kingdom,Iotec,Sales/Marketing
China,iPinYou,Communication
China,Ipselex,Legal
United States,ipvive,Core AI
Sweden,IQ Chef,Agriculture
United States,IQBoxy,Fintech
United States,IQM Corporation,Text Analytics
China,Irayrobot,Robotics
Norway,Iris,Communication
United States,Iris Automation,Robotics
Finland,Iris.ai,Communication
Israel,IsItYou,Fintech
China,iStaging,Entertainment
China,Istarshine,Text Analytics
China,Isurestar,Automation
Germany,ITYX Solutions,Communication
United Kingdom,itzMe,Data Analytics
United States,iUNU,Agriculture
United Kingdom,iWazat,Software Development
Brazil,J!Quant,Software Development
United States,Jack,Communication
South Korea,JAEM,E-Commerce
France,JAM,Communication
Canada,Janis,Communication
China,Jansport.Tmall,E-Commerce
Taiwan,JARVISH INC.,Transportation
United States,JASK,Defense/Security
United States,Jask Labs,Defense/Security
Israel,Javelin,Defense/Security
Israel,Javelin Networks,Defense/Security
United States,Jaybridge Robotics,Robotics
Australia,Jemsoft,Computer Vision
France,Jenji,Business Intelligence
Israel,Jenny,Communication
United States,Jetlore,Sales/Marketing
Singapore,Jewel Paymentech,Defense/Security
China,JHfuture,Robotics
China,JHI,Computer Vision
China,Jhrobot,Robotics
China,Jiankangliao,Robotics
Canada,Jibestream,Geolocation
United States,Jibo,Robotics
China,Jidouauto,Transportation
Israel,Jifiti,Communication
United States,JingChi,Transportation
Japan,Jinjer,Human Resources
China,JintongSoft,Robotics
South Korea,JLK INSPECTION,Healthcare
Germany,Job Pal,Communication
Germany,JobBot.me,Human Resources
Kenya,Jobonics,Human Resources
United States,JoBox,Software Development
United States,JOBOX.ai,Core AI
Singapore,JobTech,Human Resources
United States,Jolata,Text Analytics
United States,Joonko,Communication
United States,Journey,Human Resources
United States,JStar LLC,Internet of Things
China,JTrobots,Robotics
United States,"Juji, Inc.",Text Analytics
United Kingdom,Jukedeck,Entertainment
France,Julie Desk,Communication
United States,Jumio,Defense/Security
United States,Jumptuit,Core AI
Israel,JUNGO,Transportation
United States,Juvo,Communication
